cases.0.samples.0.portions.0.analytes.0.aliquots.0.aliquot_id	data_type	cases.0.samples.0.sample_type	file_name	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.samples.0.tumor_descriptor	file_id	data_category	cases.0.submitter_id	cases.0.samples.0.sample_id	cases.0.case_id	id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id
76d02c30-f4b0-4d7b-85cf-f022c14cf0ae	miRNA Expression Quantification	Primary Tumor	0644e07b-831c-436a-b3cb-83d79a48820b.mirbase21.mirnas.quantification.txt	TCGA-ZS-A9CE-01A			baa65cc1-acb7-46c0-b68b-ce11600b476d	Transcriptome Profiling	TCGA-ZS-A9CE	12076740-d690-48ac-9630-5105ac239111	7bdc5f86-4d7d-4f1f-bc23-ab51fa9fb947	baa65cc1-acb7-46c0-b68b-ce11600b476d	TCGA-ZS-A9CE-01A-11R-A37G-13
d5c5ae8e-9f61-4977-ba2e-df4d2486edc4	miRNA Expression Quantification	Primary Tumor	455502e4-9e9b-48b5-a6be-1a722de47909.mirbase21.mirnas.quantification.txt	TCGA-2Y-A9H4-01A			593d4a08-a05e-42c8-9440-4176fbf177fe	Transcriptome Profiling	TCGA-2Y-A9H4	c53e6fd9-76e1-44c3-af36-d1d0dfc2802a	801b1d2c-eb6f-4eef-a00b-83da939d755a	593d4a08-a05e-42c8-9440-4176fbf177fe	TCGA-2Y-A9H4-01A-11R-A38M-13
d62a0ef1-2a67-47e7-b468-2a00c25ebab4	miRNA Expression Quantification	Primary Tumor	8c8e40d1-f62f-4d9d-9435-ef0bc4fcd64e.mirbase21.mirnas.quantification.txt	TCGA-BC-A69I-01A			9a7a5f6e-5b59-48d4-8ad6-608ddd5e739e	Transcriptome Profiling	TCGA-BC-A69I	e36d5a75-0bc8-480d-8458-e23cb453c279	70aecc90-17f0-4064-8ebb-be81f9b1d7fd	9a7a5f6e-5b59-48d4-8ad6-608ddd5e739e	TCGA-BC-A69I-01A-11R-A310-13
d7fa37f0-47d0-4f67-a36b-f4dbbd1a63cb	miRNA Expression Quantification	Solid Tissue Normal	7bb700da-edf4-4831-80ef-8d252f590257.mirbase21.mirnas.quantification.txt	TCGA-BC-A10R-11A			1e78c8a5-aed7-4cf7-8c99-ba2220053948	Transcriptome Profiling	TCGA-BC-A10R	1ea00561-3d1d-49d0-a3f7-d34eb8fec235	0bf5bbd4-d9e8-42a6-9ab5-f2c174dec12c	1e78c8a5-aed7-4cf7-8c99-ba2220053948	TCGA-BC-A10R-11A-11R-A130-13
6fa420dd-c227-4153-8c3e-f85a55340bd1	miRNA Expression Quantification	Primary Tumor	f7f8c1ac-96cb-49bf-a485-dc8404105191.mirbase21.mirnas.quantification.txt	TCGA-CC-A7IL-01A			517095c1-a30d-4582-9f41-fcb9ddd251e1	Transcriptome Profiling	TCGA-CC-A7IL	1445b31d-812d-4ddf-8965-0a970b9ea562	b54df65f-8a6b-4405-9918-90d53418804c	517095c1-a30d-4582-9f41-fcb9ddd251e1	TCGA-CC-A7IL-01A-11R-A343-13
6cb46502-3901-4568-ac87-ab03e7615b03	miRNA Expression Quantification	Primary Tumor	466776cb-6906-4da2-b788-a05a154decf3.mirbase21.mirnas.quantification.txt	TCGA-DD-A118-01A			9b23f8cb-6b59-4040-b7c8-ba4fa08eba55	Transcriptome Profiling	TCGA-DD-A118	b1da5474-3d42-433c-918e-22cb5c353a13	7d914d07-f250-4c7a-8fa2-df14e708936e	9b23f8cb-6b59-4040-b7c8-ba4fa08eba55	TCGA-DD-A118-01A-11R-A130-13
8ca1ceb5-1122-4bd8-bf4f-615658f0ba1b	miRNA Expression Quantification	Primary Tumor	6bee6719-9ee9-4561-8c59-1667f2632d52.mirbase21.mirnas.quantification.txt	TCGA-DD-AACW-01A			0b74f41b-1771-4f42-8181-ca6fc7686b5c	Transcriptome Profiling	TCGA-DD-AACW	32c40946-b067-48a5-8a7c-cd1923bd6d60	67a00f5f-c753-48f9-bc24-8287f50ec776	0b74f41b-1771-4f42-8181-ca6fc7686b5c	TCGA-DD-AACW-01A-11R-A41H-13
607da7cc-3cb5-426c-9c82-fe2bead2b392	miRNA Expression Quantification	Primary Tumor	820f4603-0895-4741-865c-fdd98fbcb4fb.mirbase21.mirnas.quantification.txt	TCGA-DD-AAVX-01A			963ea266-2577-425f-b47d-168d6c8d7c72	Transcriptome Profiling	TCGA-DD-AAVX	512f703d-14cb-4e9f-9356-4a6d8325caba	afcb9708-92b3-4727-9c0d-63e7ff22d87b	963ea266-2577-425f-b47d-168d6c8d7c72	TCGA-DD-AAVX-01A-11R-A41H-13
7c1220ce-1f1a-4285-ae3c-6956dc286c80	miRNA Expression Quantification	Primary Tumor	bb405508-0f6a-4353-8c87-887be99855d5.mirbase21.mirnas.quantification.txt	TCGA-DD-AACN-01A			9a1850a4-7050-4c64-8d3d-50d040cb7c89	Transcriptome Profiling	TCGA-DD-AACN	a118a851-65b2-4604-8b33-b731410cc205	0afd4283-7311-4d69-a2f5-779628da45fc	9a1850a4-7050-4c64-8d3d-50d040cb7c89	TCGA-DD-AACN-01A-11R-A41H-13
deba7ff8-66f8-4876-a23f-0040b771a91d	miRNA Expression Quantification	Primary Tumor	45da1c01-0316-4dbf-939b-4a758fd7e5e7.mirbase21.mirnas.quantification.txt	TCGA-DD-A4NQ-01A			74026969-eab8-44f1-8746-d89d5a450ba1	Transcriptome Profiling	TCGA-DD-A4NQ	1e18c64b-42c7-424b-bd32-a1e7797f28a7	c05720fe-19c1-4cff-819b-6806b26fc312	74026969-eab8-44f1-8746-d89d5a450ba1	TCGA-DD-A4NQ-01A-21R-A28Z-13
078cc576-a94d-46f6-8b7f-83f222e88502	miRNA Expression Quantification	Solid Tissue Normal	f7332a1d-ba16-44cd-b6c8-2639fdd568bf.mirbase21.mirnas.quantification.txt	TCGA-DD-A39Z-11A			772f0a50-c019-4d85-a1c9-6534ff57f482	Transcriptome Profiling	TCGA-DD-A39Z	7da50944-297e-46ab-8e8e-20631c68d010	42cb60f0-1a9e-4f59-8e2e-50c25e85cb98	772f0a50-c019-4d85-a1c9-6534ff57f482	TCGA-DD-A39Z-11A-21R-A214-13
bb04aa3d-d950-487b-8587-ff6665bfca86	miRNA Expression Quantification	Primary Tumor	d3389e1d-e4c8-4980-aa36-a10ed6ce3da6.mirbase21.mirnas.quantification.txt	TCGA-G3-A25U-01A			c968f62e-7bc6-4f2b-b39c-5698e87f2a68	Transcriptome Profiling	TCGA-G3-A25U	824e95b4-5d35-4b11-b320-fcf96e78ad10	b9835dc5-bf31-4541-a973-e8ca802d80ba	c968f62e-7bc6-4f2b-b39c-5698e87f2a68	TCGA-G3-A25U-01A-11R-A16S-13
09d3b24a-f9c0-402f-a3c0-daec0e7098fa	miRNA Expression Quantification	Primary Tumor	982dd56f-fbe2-4ca5-8b6d-1028faec1872.mirbase21.mirnas.quantification.txt	TCGA-LG-A9QD-01A			b2c6f006-f9de-4917-83d3-03858b728fe3	Transcriptome Profiling	TCGA-LG-A9QD	3b829cbd-1abb-41f8-9633-597e6b79e362	948a9bbc-60b0-4fb7-a707-76bc41294217	b2c6f006-f9de-4917-83d3-03858b728fe3	TCGA-LG-A9QD-01A-11R-A38M-13
723801bc-e75f-42b9-bb00-45516fcdd317	miRNA Expression Quantification	Solid Tissue Normal	26ed5a27-73f0-441f-bb31-f61d80ca1d51.mirbase21.mirnas.quantification.txt	TCGA-DD-A39X-11A			be701183-6b9f-44eb-b83a-6372b2b50054	Transcriptome Profiling	TCGA-DD-A39X	4b14715b-84e2-4ff9-9db6-998f42fe9fa8	0d0a10b4-7b99-4043-a129-89844f258156	be701183-6b9f-44eb-b83a-6372b2b50054	TCGA-DD-A39X-11A-11R-A214-13
445e9412-6c94-4558-a6bd-e97a5709f0b2	miRNA Expression Quantification	Primary Tumor	e468d0ba-a361-49de-b6a5-c32f9e255bd4.mirbase21.mirnas.quantification.txt	TCGA-KR-A7K2-01A			0032767c-7bed-4c57-8066-860d956dcc67	Transcriptome Profiling	TCGA-KR-A7K2	97843db5-32bd-4b54-8397-d5315d0922ec	fbb398fe-2ba8-4845-8083-6533ecb4a52e	0032767c-7bed-4c57-8066-860d956dcc67	TCGA-KR-A7K2-01A-12R-A343-13
47ebb905-08f6-41c2-ae37-d296d499a2fc	miRNA Expression Quantification	Primary Tumor	bbb9946b-cdb3-4baf-b6d8-4de40280dfe9.mirbase21.mirnas.quantification.txt	TCGA-DD-AACZ-01A			cb351a12-c97b-4432-aca7-2cc9186b7fc1	Transcriptome Profiling	TCGA-DD-AACZ	b67f0f40-26ed-4fa0-b9b4-94686c48c593	cce2bb32-84cb-4991-9628-1ea408a9b11a	cb351a12-c97b-4432-aca7-2cc9186b7fc1	TCGA-DD-AACZ-01A-11R-A41H-13
6f514a1d-b9a9-4919-8fe9-43896bfaca33	miRNA Expression Quantification	Primary Tumor	de1a7fe5-a943-438d-adbe-c6f546dba34d.mirbase21.mirnas.quantification.txt	TCGA-BW-A5NQ-01A			41bbff97-ff5c-4ea8-8de7-5fcae1b37637	Transcriptome Profiling	TCGA-BW-A5NQ	c8ffe03a-62c3-4b47-9dea-cb3377f59abb	c7f1b389-aec7-4993-8afb-b7a56064f8fc	41bbff97-ff5c-4ea8-8de7-5fcae1b37637	TCGA-BW-A5NQ-01A-11R-A27R-13
d4989299-fd25-4159-970c-57e03f47046c	miRNA Expression Quantification	Primary Tumor	487a666a-91a5-4865-96fa-bca3391b5ed7.mirbase21.mirnas.quantification.txt	TCGA-DD-AAVU-01A			3c31123c-895d-4c1a-89b5-bc3185beaf72	Transcriptome Profiling	TCGA-DD-AAVU	7b4920a8-a742-4065-bad4-14473fe429a1	146c5332-1af5-4c49-b740-9a9edc795f24	3c31123c-895d-4c1a-89b5-bc3185beaf72	TCGA-DD-AAVU-01A-11R-A41H-13
0b336489-dd10-4228-8e0f-d041d596c8b8	miRNA Expression Quantification	Primary Tumor	96bb382e-1568-4254-a5b3-3ac82b18941b.mirbase21.mirnas.quantification.txt	TCGA-DD-AADG-01A			dfe23fa5-d6d8-41a0-8e5a-3d3d11083fcc	Transcriptome Profiling	TCGA-DD-AADG	1acafc42-0ee1-405c-af15-c71581ff6d69	89d1261c-6d93-4298-a2af-b5ff52be0cb6	dfe23fa5-d6d8-41a0-8e5a-3d3d11083fcc	TCGA-DD-AADG-01A-11R-A41H-13
4a6ba817-2b50-47db-87e3-72332d505870	miRNA Expression Quantification	Primary Tumor	dd7dac70-c361-4516-b162-c05fe2e30e75.mirbase21.mirnas.quantification.txt	TCGA-DD-A11C-01A			6564f6a0-1d07-4970-8eec-7164b674e052	Transcriptome Profiling	TCGA-DD-A11C	bf79978c-a9c7-429e-bb78-20eea5f16fdf	023a1ad1-fb16-437e-9806-5063b47f76bd	6564f6a0-1d07-4970-8eec-7164b674e052	TCGA-DD-A11C-01A-11R-A130-13
c61516d3-6c12-4b20-83c0-6c29a656d129	miRNA Expression Quantification	Solid Tissue Normal	abd0c7a6-54da-4fa7-bbef-c09b851b051f.mirbase21.mirnas.quantification.txt	TCGA-EP-A3RK-11A			8e9eab49-87c7-4f8b-aac5-bd518bbe4026	Transcriptome Profiling	TCGA-EP-A3RK	13576f15-4fba-4ea4-b682-32271d2768b5	f15279dd-5d12-460b-9bd1-b4f95681ca65	8e9eab49-87c7-4f8b-aac5-bd518bbe4026	TCGA-EP-A3RK-11A-11R-A22J-13
1863f93e-305b-4ab8-b868-d8830c546548	miRNA Expression Quantification	Primary Tumor	71828329-0504-41cf-acbb-15211d441b77.mirbase21.mirnas.quantification.txt	TCGA-BC-A10S-01A			47691663-def0-4721-999b-f8ebf99349fa	Transcriptome Profiling	TCGA-BC-A10S	ade2df15-2ed2-4dee-a710-e2814de6e4ef	592ef526-176a-42e0-bbeb-fb62d369a343	47691663-def0-4721-999b-f8ebf99349fa	TCGA-BC-A10S-01A-22R-A130-13
